,O2,ph,zink,magnesium,Month,Day,Quality
1,29,4,7.4,67,5,1,0
2,35,3,8,72,5,2,0
3,12,5,12.6,74,5,3,1
4,23,6,11.5,62,5,4,1
5,19,3,14.3,56,5,5,0
6,33,2,14.9,66,5,6,0
7,24,5,8.6,65,5,7,1
8,19,6,13.8,59,5,8,1
9,23,5,20.1,61,5,9,1
10,15,4,8.6,69,5,10,0
11,7,3,6.9,74,5,11,0
12,16,6,9.7,69,5,12,1
13,11,4,9.2,66,5,13,0
14,14,3,10.9,68,5,14,0
15,18,8,13.2,58,5,15,1
16,14,6,11.5,64,5,16,1
17,34,5,12,66,5,17,1
18,6,7,18.4,57,5,18,1
19,30,4,11.5,68,5,19,0
20,34,7,9.7,62,5,20,1
21,1,3,9.7,59,5,21,0
22,11,4,16.6,73,5,22,0
23,4,5,9.7,61,5,23,1
24,32,2,12,61,5,24,1
25,23,4,16.6,57,5,25,0
26,15,6,14.9,58,5,26,1
27,15,3,8,57,5,27,0
28,23,5,12,67,5,28,1
29,12,6,14.9,81,5,29,0
30,23,7,5.7,79,5,30,1
31,3,3,7.4,76,5,31,0
32,15,5,8.6,78,6,1,1
33,15,6,9.7,74,6,2,1
34,15,8,16.1,67,6,3,1
35,10,7,9.2,84,6,4,1
36,15,6,8.6,85,6,5,1
37,25,3,14.3,79,6,6,0
38,29,4,9.7,82,6,7,0
39,15,6,6.9,87,6,8,1
40,24,5,13.8,90,6,9,1
41,39,4,11.5,87,6,10,0
42,24,5,10.9,93,6,11,1
43,27,6,9.2,92,6,12,1
44,23,7,8,82,6,13,1
45,15,7,13.8,80,6,14,1
46,15,7,11.5,79,6,15,1
47,21,2,14.9,77,6,16,0
48,13,4,20.7,72,6,17,0
49,20,4,9.2,65,6,18,0
50,12,4,11.5,73,6,19,0
51,13,4,10.3,76,6,20,0
52,15,7,6.3,77,6,21,1
53,15,8,1.7,76,6,22,1
54,15,7,4.6,76,6,23,1
55,15,1,6.3,76,6,24,0
56,15,1,8,75,6,25,0
57,15,1,8,78,6,26,0
58,15,1,10.3,73,6,27,0
59,15,1,11.5,80,6,28,0
60,15,5,14.9,77,6,29,1
61,15,4,8,83,6,30,0
62,13,3,4.1,84,7,1,0
63,17,3,9.2,85,7,2,0
64,32,3,9.2,81,7,3,0
65,15,2,10.9,84,7,4,0
66,35,2,4.6,83,7,5,0
67,34,2,10.9,83,7,6,0
68,77,4,5.1,88,7,7,0
69,22,6,6.3,92,7,8,1
70,11,8,5.7,92,7,9,1
71,11,7,7.4,89,7,10,1
72,15,6,8.6,82,7,11,1
73,10,5,14.3,73,7,12,1
74,27,5,14.9,81,7,13,1
75,15,4,14.9,91,7,14,0
76,7,3,14.3,80,7,15,0
77,48,3,6.9,81,7,16,0
78,35,3,10.3,82,7,17,0
79,61,5,6.3,84,7,18,1
80,79,5,5.1,87,7,19,1
81,63,5,11.5,85,7,20,1
82,16,7,6.9,74,7,21,1
83,15,5,9.7,81,7,22,1
84,15,4,11.5,82,7,23,0
85,32,5,8.6,86,7,24,1
86,18,7,8,85,7,25,1
87,20,8,8.6,82,7,26,1
88,30,5,12,86,7,27,1
89,28,5,7.4,88,7,28,1
90,29,3,7.4,86,7,29,0
91,29,5,7.4,83,7,30,1
92,15,8,9.2,81,7,31,1
93,15,8,6.9,81,8,1,1
94,33,8,13.8,81,8,2,1
95,16,8,7.4,82,8,3,1
96,18,1,6.9,86,8,4,0
97,35,3,7.4,85,8,5,0
98,66,3,4.6,87,8,6,0
99,18,3,4,89,8,7,0
100,29,3,10.3,90,8,8,0
