tahun ,jenis_bus,operator_perusahaan,kode, jumlah 
2020,Bus Besar,Damri,"DMR 1,8 - AB42", 46 
2020,Bus Besar,Mayasari Bakti,MYS - AB51, 51 
2020,Bus Besar,PPD,PPD - AB59, 59 
2020,Bus Besar,Swakelola,Scania AB, 52 
2020,Bus Besar,Swakelola,Pariwisata, 28 
2020,Bus Besar,Swakelola,Mercy 1726 LE, 139 
2020,Bus Besar,Swakelola,Scania LE, 150 
2020,Bus Besar,Swakelola,Royal, 100 
2020,Bus Besar,Mayasari Bakti,MYS - Maxi100, 100 
2020,Bus Besar,Mayasari Bakti,MYS - Maxi36, 36 
2020,Bus Besar,Mayasari Bakti,MYS - SB47, 47 
2020,Bus Besar,Mayasari Bakti,MYS - SB19, 19 
2020,Bus Besar,Mayasari Bakti,MYS-300 Tahap 1, 40 
2020,Bus Besar,PPD,PPD - SB348, 348 
2020,Bus Besar,PPD,PPD - SB102, 102 
2020,Bus Besar,Pahala Kencana,PKT - SB14, 14 
2020,Bus Besar,Steady Safe,SAF - Maxi116, 116 
2020,Bus Besar,BMP Amari,BMP - AMARI, 70 
2020,Bus Besar,Swakelola,Hino CNG, 60 
2020,Bus Besar,Swakelola,Mercy 1526, 90 
2020,Bus Besar,Swakelola,Mercy 1626 AT, 35 
2020,Bus Besar,Swakelola,Mercy 1626 MT, 10 
2020,Bus Besar,Swakelola,Mercy 2542, 24 
2020,Bus Sedang,Kopaja,KAJ - MB, 168 
2020,Bus Sedang,Transwadaya,TSW - MB80, 80 
2020,Bus Sedang,Swakelola,Bis Sedang, 20 
